label,image,size_px,size_um2,equivalent_diameter_um,max_feret_px,min_feret_px,sphericity
145,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,297.0,5.0193,2.527997477627144,21.540659228538015,18.418800540217507,0.855071348782839
146,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,124.0,2.0956,1.6334628217216967,15.132745950421556,11.940714401674429,0.7890646179348431
147,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,209.0,3.5321000000000002,2.120662489874112,18.027756377319946,15.474574390694249,0.8583749451020005
148,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,310.0,5.239000000000001,2.582731494923063,21.93171219946131,19.057386389005796,0.8689420240282876
149,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,134.0,2.2646,1.6980513163645112,15.811388300841896,11.529490906869105,0.7291890305581328
150,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,137.0,2.3153000000000006,1.7169541397268953,16.55294535724685,11.549727257491956,0.6977445408188644
151,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,111.0,1.8759000000000001,1.545467586838589,13.416407864998739,11.577850321423435,0.8629620117340197
152,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,233.0,3.9377000000000004,2.2391148597835824,19.4164878389476,16.243449875873356,0.8365802307094161
153,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,183.0,3.0927,1.9843759573232178,18.24828759089466,13.328368231004486,0.7303900798700113
154,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,57.0,0.9633,1.1074798659313778,9.848857801796104,7.877472009789997,0.7998360996087697
155,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,194.0,3.2786000000000004,2.0431454112149496,18.788294228055936,13.655911990364876,0.7268308567348789
156,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,203.0,3.4307000000000003,2.0900006952446026,17.46424919657298,15.607902760156595,0.8937059122598493
157,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,327.0,5.5263,2.6526031923508517,21.93171219946131,19.831954669929495,0.9042592976583292
158,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,167.0,2.8223000000000003,1.8956434177096837,18.027756377319946,12.131919528082923,0.6729578142816287
159,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,414.0,6.9966,2.984685544357067,27.51363298439521,19.467123359705134,0.7075446332640339
160,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,170.0,2.873,1.912594366828503,17.88854381999832,13.028378170424766,0.7283084806411029
161,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,285.0,4.8165000000000004,2.476400263934914,21.95449840010015,17.0115952823904,0.7748569323867038
162,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,281.0,4.7489,2.4589606084670845,23.40939982143925,16.023748701671575,0.6845006204301058
163,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,277.0,4.6813,2.4413963792814797,21.587033144922902,17.27219077639677,0.8001187870719071
164,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,278.0,4.6982,2.4457992618108997,21.18962010041709,17.517614574785163,0.8267073450005058
165,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,367.0,6.2023,2.8101625626128643,25.238858928247925,19.277639941629893,0.7638079041701011
166,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,241.0,4.072900000000001,2.2772301907694454,18.973665961010276,17.190834215976363,0.9060365166806708
167,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,236.0,3.9884,2.2534836587429967,19.4164878389476,16.987552419302634,0.8749034614399853
168,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,250.0,4.2250000000000005,2.3193613509986024,19.924858845171276,16.59337948305353,0.8327978437385457
169,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,288.0,4.8671999999999995,2.48939982970494,21.95449840010015,17.389448116789623,0.7920676573831583
170,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,390.0,6.591,2.8968813989097755,25.0,20.61069823173639,0.8244279292694556
171,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,221.0,3.7349,2.180693095240905,18.384776310850235,16.547787169594653,0.9000809631732404
172,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,201.0,3.3969000000000005,2.079679641077172,19.72308292331602,13.518184682822247,0.6853991708791867
173,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,227.0,3.8363000000000005,2.210097026256428,18.973665961010276,15.961071335394239,0.8412223219378514
174,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,236.0,3.9884,2.2534836587429967,19.6468827043885,16.575890749720013,0.8436906250790349
175,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,405.0,6.8445,2.9520650507635873,25.298221281347036,21.496999397083513,0.8497435119256289
176,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,224.0,3.7856,2.195444287735271,19.4164878389476,15.408016076273428,0.7935532009741966
177,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,192.0,3.2448,2.0325864495161468,17.08800749063506,14.98011566894162,0.8766449615118291
178,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,174.0,2.9406000000000003,1.9349646521960602,17.46424919657298,13.851637184758822,0.7931424379512941
179,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,210.0,3.5490000000000004,2.1257297909812274,18.384776310850235,15.284846227385529,0.8313860320598405
180,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,556.0,9.3964,3.4588824868950785,30.805843601498726,23.52996398361637,0.7638149530328596
181,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,169.0,2.8561000000000005,1.9069607923914165,16.492422502470642,14.364405304412744,0.8709700046952404
182,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,630.0,10.647,3.6818720011422554,32.01562118716424,25.7934090938179,0.8056507460226646
183,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,183.0,3.0927,1.9843759573232178,17.08800749063506,14.079415678271705,0.8239354814180536
184,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,87.0,1.4703000000000002,1.3682266269241035,12.649110640673518,8.876467357832837,0.7017463606722154
185,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,89.0,1.5041,1.3838640103840254,13.416407864998739,9.186271951077044,0.6847042847469298
186,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,105.0,1.7745000000000002,1.5031179501730882,14.422205101855956,10.557836635642445,0.7320542566880972
187,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,234.0,3.9546000000000006,2.243914682783121,23.259406699226016,13.62958600471449,0.5859816710272335
188,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,142.0,2.3998000000000004,1.7480046508677956,16.15549442140351,11.900907719770643,0.7366476945455657
189,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,174.0,2.9406000000000003,1.9349646521960602,17.08800749063506,14.06374139734505,0.8230182135074885
190,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,403.0,6.810700000000001,2.944766980140835,25.96150997149434,20.716100235658296,0.7979543662292568
191,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,242.0,4.0898,2.281949843896195,19.924858845171276,16.123314994334624,0.8092059833207831
192,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,213.0,3.5997000000000003,2.1408597313189777,20.615528128088304,13.773795044891793,0.6681271980670354
193,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,125.0,2.1125000000000003,1.6400361393131042,15.231546211727817,11.115002668876517,0.7297356758382357
194,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,145.0,2.4505000000000003,1.766372979971534,16.278820596099706,12.528839102960273,0.7696404680546757
195,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,207.0,3.4983,2.110491388124344,18.384776310850235,14.979419034630585,0.8147729828940103
196,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,221.0,3.7349,2.180693095240905,18.384776310850235,16.016811395668093,0.8711996885279137
197,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,336.0,5.6784,2.6888591318297332,22.135943621178654,20.496266704439353,0.9259269473757363
198,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,150.0,2.535,1.7965695772509447,17.46424919657298,11.481147702698822,0.6574086050576841
199,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,154.0,2.6026000000000002,1.8203662376367387,16.278820596099706,12.921072222456633,0.7937351570513919
200,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,120.0,2.0280000000000005,1.6069006804164687,15.264337522473747,10.469154869448362,0.6858571394948901
201,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,155.0,2.6195000000000004,1.826266954044167,17.72004514666935,12.337608699028765,0.6962515386902237
202,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,259.0,4.3771,2.3607407335961907,21.587033144922902,16.063535699730572,0.7441289218341979
203,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,77.0,1.3013000000000001,1.28719331087598,12.206555615733702,8.593695045658626,0.704022929660988
204,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,108.0,1.8252000000000002,1.5244398371371102,15.231546211727817,9.784099892961276,0.6423576278439692
205,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,395.0,6.6755,2.9153920115277088,25.0,20.788699794537123,0.831547991781485
206,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,343.0,5.7967,2.7167237012560403,24.041630560342615,19.821576978261962,0.8244689114788347
207,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,191.0,3.2279000000000004,2.027286345450645,17.4928556845359,14.574242562630161,0.833153993004935
208,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,220.0,3.7180000000000004,2.1757538066898414,19.235384061671343,15.216834466529109,0.7910855545042303
209,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,215.0,3.6335,2.1508872322358545,21.587033144922902,13.194919693951423,0.6112428514547754
210,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,285.0,4.8165000000000004,2.476400263934914,20.248456731316587,18.76572055593821,0.926772879777788
211,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,268.0,4.5292,2.401407201208179,22.360679774997898,15.942675242575994,0.7129781117120574
212,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,508.0,8.5852,3.306208725936752,31.016124838541646,21.761830424164813,0.7016295729221097
213,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,302.0,5.1038,2.549188103773302,21.93171219946131,18.2390590977175,0.8316295112684131
214,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,182.0,3.0758,1.978946737963509,19.924858845171276,12.058704483227643,0.6052090294305915
215,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,318.0,5.374200000000001,2.6158447892250245,22.135943621178654,18.99587490551025,0.8581461549864027
216,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,368.0,6.219200000000001,2.8139885174991255,24.698178070456937,19.976317319443798,0.8088174464714359
217,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,297.0,5.0193,2.527997477627144,21.93171219946131,18.391162235237644,0.8385648173738743
218,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,196.0,3.3124000000000002,2.053650084113833,22.47220505424423,11.909196869719711,0.5299523051241681
219,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,167.0,2.8223000000000003,1.8956434177096837,17.0,13.198068268888798,0.7763569569934587
220,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,78.0,1.3182,1.2955247461433885,11.40175425099138,9.844101261667827,0.8633847954416213
221,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,329.0,5.5601,2.6607027629335036,23.853720883753127,17.96398958087218,0.7530896193686718
222,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,198.0,3.3462000000000005,2.064101297076479,18.867962264113206,14.161384042759375,0.7505518531640417
223,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,241.0,4.072900000000001,2.2772301907694454,18.973665961010276,16.75556348170409,0.8830957346954326
224,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,192.0,3.2448,2.0325864495161468,17.72004514666935,14.703239309256444,0.8297517973321901
225,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,180.0,3.0420000000000003,1.968043367175725,18.110770276274835,13.721299372797542,0.7576320147339336
226,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,264.0,4.4616,2.3834188790035213,21.18962010041709,16.70343354250238,0.7882837664547651
227,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,185.0,3.1265,1.9951900753097402,18.027756377319946,14.317761789921185,0.794206527437537
228,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,291.0,4.9179,2.5023318638927687,21.02379604162864,18.67593543986669,0.888323659670546
229,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,128.0,2.1632000000000002,1.6595998864699602,15.264337522473747,11.93625309066676,0.781969939612051
230,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,189.0,3.1941,2.0166443488723003,20.8806130178211,12.266636566666122,0.5874653467403875
231,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,194.0,3.2786000000000004,2.0431454112149496,18.35755975068582,15.385332276776186,0.8380924526856793
232,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,152.0,2.5688000000000004,1.8085070479585328,15.231546211727817,13.779066366071227,0.9046400263330964
233,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,242.0,4.0898,2.281949843896195,20.8806130178211,15.270312348793377,0.7313153275605717
234,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,210.0,3.5490000000000004,2.1257297909812274,17.72004514666935,16.11877589201881,0.9096351481389136
235,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,145.0,2.4505000000000003,1.766372979971534,15.811388300841896,12.55222364929612,0.7938723286321266
236,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,231.0,3.9039,2.2294842135999984,20.615528128088304,14.81205698622095,0.718490299845376
237,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,259.0,4.3771,2.3607407335961907,19.924858845171276,17.28186725093951,0.867352054297123
238,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,301.0,5.086900000000001,2.5449640940715255,23.53720459187964,17.031201288079934,0.7235864064314467
239,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,277.0,4.6813,2.4413963792814797,20.8806130178211,17.77861034201785,0.851441015014465
240,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,201.0,3.3969000000000005,2.079679641077172,18.867962264113206,15.327034526137496,0.8123312052245015
241,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,219.0,3.7011000000000003,2.1708032796684527,18.384776310850235,16.182061436067972,0.8801881057708449
242,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,154.0,2.6026000000000002,1.8203662376367387,16.492422502470642,13.188980319113076,0.799699396321996
243,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,144.0,2.4335999999999998,1.7602715006689995,16.76305461424021,11.85395490355545,0.707147663498365
244,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,297.0,5.0193,2.527997477627144,22.80350850198276,16.931826040732698,0.7425096905268099
245,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,379.0,6.405100000000001,2.85573573847147,26.248809496813376,19.030746409932377,0.7250136968018577
246,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,274.0,4.630600000000001,2.4281398303744055,22.360679774997898,16.577230117350595,0.741356268421055
247,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,281.0,4.7489,2.4589606084670845,21.18962010041709,17.563863306534323,0.8288899575971445
